id,k9_key,composition,place,k1,k6,key_sig,year,date_text,age,category,type,created_at,spotify_track_id
528,481,Violin Sonata No. 33 in E-flat,Vienna,481,481,E Flat Major,1785,12 December 1785,29,Chamber Music,Sonatas and Variations for Piano and Violin,2025-09-05 20:46:27.448184+00,
529,482,Piano Concerto No. 22 in E-flat,Vienna,482,482,E Flat Major,1785,16 December 1785,29,Concertos,Concertos for piano,2025-09-05 20:46:27.448184+00,
530,483,"Song with chorus, ""Zerfließet heut""",Vienna,483,483,,1785,End of 1785,29,Vocal Music (smaller forms),Notturni & Polyphonic singing,2025-09-05 20:46:27.448184+00,
531,484,"Song with chorus, ""Ihr unsre neuen Leiter""",Vienna,484,484,,1785,End of 1785,29,Vocal Music (smaller forms),Notturni & Polyphonic singing,2025-09-05 20:46:27.448184+00,
532,484e,Allegro for Basset Horn in F (fragment),Vienna,nan,484e,F Major,1785,end 1785,29,,,2025-09-05 20:46:27.448184+00,
533,485,Rondo in D for Piano,Vienna,485,485,D Major,1786,10 January 1786,30,Piano Music,Piano Pieces,2025-09-05 20:46:27.448184+00,
534,486,Der Schauspieldirektor,Vienna,486,486,,1786,7 February 1786,30,Vocal Music with Orchestra,Operas and Singspiels,2025-09-05 20:46:27.448184+00,
535,486a,"Recitative and Aria for Soprano, ""Basta, vincesti""",Mannheim,486a,295a,,1778,27 February 1778,22,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
536,487,"12 Duos for Two Horns (Nos. 2, 4, 5, 7-12 doubtful)",Vienna,487,496a,,1786,27 July 1786,30,Chamber Music,Duos and Trios for Strings and Winds,2025-09-05 20:46:27.448184+00,
537,488,Piano Concerto No. 23 in A,Vienna,488,488,A Major,1786,2 March 1786,30,Concertos,Concertos for piano,2025-09-05 20:46:27.448184+00,
538,488a,Movement to a Piano Concerto in D (fragment),Vienna,Anh. 58,488a,D Major,1786,March 1786,30,,,2025-09-05 20:46:27.448184+00,
539,488b,Movement to a Piano Concerto in A (in conjunction with K. 488; fragment),Vienna,Anh. 63,488b,A Major,1786,March 1786,30,,,2025-09-05 20:46:27.448184+00,
540,488c,Movement to a Piano Concerto in A (in conjunction with K. 488; fragment),Vienna,Anh. 64,488c,A Major,1786,March 1786,30,,,2025-09-05 20:46:27.448184+00,
541,488d,Rondo for a Piano Concerto in A (in conjunction with K. 488; fragment),Vienna,nan,488d,A Major,1786,March 1786,30,,,2025-09-05 20:46:27.448184+00,
542,489,"Duet for Soprano and Tenor, ""Spiegarti no poss'io""",Vienna,489,489,,1786,10 March 1786,30,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
543,49,Missa brevis in G,Vienna,49,47d,G Major,1768,October - November 1768,12,Sacred Works,Masses and Requiem,2025-09-05 20:46:27.448184+00,
544,490,"Scena and Rondo for Soprano and Tenor, ""Non più. Tutto ascoltai - Non temer, amato bene""",Vienna,490,490,,1786,10 March 1786,30,Vocal Music with Orchestra,"Arias, scenes, ensembles and choirs with orchestra",2025-09-05 20:46:27.448184+00,
545,491,Piano Concerto No. 24 in C minor,Vienna,491,491,C Minor,1786,24 March 1786,30,Concertos,Concertos for piano,2025-09-05 20:46:27.448184+00,
546,492,Le nozze di Figaro,Vienna,492,492,,1786,1 May 1786,30,Vocal Music with Orchestra,Operas and Singspiels,2025-09-05 20:46:27.448184+00,
547,493,Piano Quartet No. 2 in E-flat,Vienna,493,493,E Flat Major,1786,3 June 1786,30,Chamber Music,"Quintets, quartets and trios with piano",2025-09-05 20:46:27.448184+00,
548,493a,Movement to a Piano Quartet in E-flat (original final movement to K. 493),Vienna,Anh. 53,493a,E Flat Major,1786,3 June 1786,30,,,2025-09-05 20:46:27.448184+00,
549,494,Rondo in F,Vienna,494,494,F Major,1786,10 June 1786,30,Piano Music,Piano sonatas,2025-09-05 20:46:27.448184+00,
